Método,Tipo,Tamanho,Execução,Tempo(ns)
Método,Tipo,Tamanho,Execução,Tempo(ns)
Shell Sort,Decrescente,100,1,93500
Shell Sort,Decrescente,100,2,121500
Shell Sort,Decrescente,100,3,50000
Shell Sort,Decrescente,100,4,45200
Shell Sort,Decrescente,100,5,47100
Shell Sort,Decrescente,100,6,46000
Shell Sort,Decrescente,100,7,24300
Shell Sort,Decrescente,100,8,8700
Shell Sort,Decrescente,100,9,9000
Shell Sort,Decrescente,100,10,11000
Shell Sort,Decrescente,1000,1,122300
Shell Sort,Decrescente,1000,2,105500
Shell Sort,Decrescente,1000,3,94900
Shell Sort,Decrescente,1000,4,110800
Shell Sort,Decrescente,1000,5,140000
Shell Sort,Decrescente,1000,6,154200
Shell Sort,Decrescente,1000,7,98500
Shell Sort,Decrescente,1000,8,103900
Shell Sort,Decrescente,1000,9,98900
Shell Sort,Decrescente,1000,10,99200
Shell Sort,Decrescente,10000,1,1396900
Shell Sort,Decrescente,10000,2,1350600
Shell Sort,Decrescente,10000,3,1391400
Shell Sort,Decrescente,10000,4,3908800
Shell Sort,Decrescente,10000,5,1479900
Shell Sort,Decrescente,10000,6,1353700
Shell Sort,Decrescente,10000,7,1335900
Shell Sort,Decrescente,10000,8,1434200
Shell Sort,Decrescente,10000,9,8543200
Shell Sort,Decrescente,10000,10,8410500
Shell Sort,Decrescente,100000,1,8013300
Shell Sort,Decrescente,100000,2,7574500
Shell Sort,Decrescente,100000,3,7217500
Shell Sort,Decrescente,100000,4,6963600
Shell Sort,Decrescente,100000,5,6934300
Shell Sort,Decrescente,100000,6,6873400
Shell Sort,Decrescente,100000,7,6870900
Shell Sort,Decrescente,100000,8,6981500
Shell Sort,Decrescente,100000,9,6912800
Shell Sort,Decrescente,100000,10,7082200
